评论发表时间,评论内容,评论发表地点,点赞数,评论数,转发数
Wed Dec 21 17:27:43 +0800 2022,"<a  href=""https://m.weibo.cn/search?containerid=231522type%3D1%26t%3D10%26q%3D%23%E9%98%BF%E6%A0%B9%E5%BB%B7%E5%86%A0%E5%86%9B%23&luicode=10000011&lfid=231522type%3D1%26q%3D%23%E9%98%BF%E6%A0%B9%E5%BB%B7%E5%86%A0%E5%86%9B%23%26t%3D10"" data-hide=""""><span class=""surl-text"">#阿根廷冠军#</span></a>阿根廷夺冠，梅球王登基！<br />这是阿根廷第三冠，是马拉多纳之后的再次夺<br />冠，梅球王正式登基！ ",广西,2,0,2
Wed Dec 21 11:41:03 +0800 2022,"迪巴拉：<br /><br />“当我在决赛中出场时，我知道我是上去踢点球的。我本来打算打一个角度，但马丁内斯告诉我，我应该踢中路，因为法国队守门员总是赌一个边去扑。幸好我听他的话。”<br /><br /><a  href=""https://m.weibo.cn/search?containerid=231522type%3D1%26t%3D10%26q%3D%23%E9%98%BF%E6%A0%B9%E5%BB%B7%E5%86%A0%E5%86%9B%23&luicode=10000011&lfid=231522type%3D1%26q%3D%23%E9%98%BF%E6%A0%B9%E5%BB%B7%E5%86%A0%E5%86%9B%23%26t%3D10"" data-hide=""""><span class=""surl-text"">#阿根廷冠军#</span></a><a  href=""https://m.weibo.cn/search?containerid=231522type%3D1%26t%3D10%26q%3D%23%E5%8D%A1%E5%A1%94%E5%B0%94%E4%B8%96%E7%95%8C%E6%9D%AF%23&extparam=%23%E5%8D%A1%E5%A1%94%E5%B0%94%E4%B8%96%E7%95%8C%E6%9D%AF%23&luicode=10000011&lfid=231522type%3D1%26q%3D%23%E9%98%BF%E6%A0%B9%E5%BB%B7%E5%86%A0%E5%86%9B%23%26t%3D10"" data-hide=""""><span class=""surl-text"">#卡塔尔世界杯#</span></a><a  href=""https://m.weibo.cn/search?containerid=231522type%3D1%26t%3D10%26q%3D%23dear+football%23&extparam=%23dear+football%23&luicode=10000011&lfid=231522type%3D1%26q%3D%23%E9%98%BF%E6%A0%B9%E5%BB%B7%E5%86%A0%E5%86%9B%23%26t%3D10"" data-hide=""""><span class=""surl-text"">#dear football#</span></a> ",北京,41,4,41
Tue Dec 20 21:12:33 +0800 2022,"<a  href=""https://m.weibo.cn/search?containerid=231522type%3D1%26t%3D10%26q%3D%23%E9%98%BF%E6%A0%B9%E5%BB%B7%E5%86%A0%E5%86%9B%23&luicode=10000011&lfid=231522type%3D1%26q%3D%23%E9%98%BF%E6%A0%B9%E5%BB%B7%E5%86%A0%E5%86%9B%23%26t%3D10"" data-hide=""""><span class=""surl-text"">#阿根廷冠军#</span></a><a  href=""https://m.weibo.cn/p/index?extparam=%E6%A2%85%E8%A5%BF&containerid=1008086b664999626c7726b90fdf313cf6bd62&luicode=10000011&lfid=231522type%3D1%26q%3D%23%E9%98%BF%E6%A0%B9%E5%BB%B7%E5%86%A0%E5%86%9B%23%26t%3D10"" data-hide=""""><span class='url-icon'><img style='width: 1rem;height: 1rem' src='https://n.sinaimg.cn/photo/5213b46e/20180926/timeline_card_small_super_default.png'></span><span class=""surl-text"">梅西</span></a> 一共收集了全世界198家重要报纸封面，这在世界报业史上也是一个罕见的日子，一个足球人物和他的国家队得到全世界媒体如此待遇的礼赞<br /> <a  href=""https://weibo.cn/sinaurl?u=https%3A%2F%2Fmp.weixin.qq.com%2Fs%3F__biz%3DMzUzODk4NzM5Ng%3D%3D%26mid%3D2247487950%26idx%3D1%26sn%3D3c87e93b14c8a25b97d3a9eb283d6994"" data-hide=""""><span class='url-icon'><img style='width: 1rem;height: 1rem' src='https://h5.sinaimg.cn/upload/2015/09/25/3/timeline_card_small_web_default.png'></span><span class=""surl-text"">看，这是世界献给梅西的礼赞</span></a> ",江苏,44,1,44
Wed Dec 21 09:16:03 +0800 2022,"🇦🇷⭐️⭐️⭐️<br />                    三星美图✌<br /><br /><a  href=""https://m.weibo.cn/p/index?extparam=%E9%98%BF%E6%A0%B9%E5%BB%B7%E7%90%83%E8%BF%B7%E4%BF%B1%E4%B9%90%E9%83%A8&containerid=100808f21090a44248e40bcf8a43fa57d556e7&luicode=10000011&lfid=231522type%3D1%26q%3D%23%E9%98%BF%E6%A0%B9%E5%BB%B7%E5%86%A0%E5%86%9B%23%26t%3D10"" data-hide=""""><span class='url-icon'><img style='width: 1rem;height: 1rem' src='https://n.sinaimg.cn/photo/5213b46e/20180926/timeline_card_small_super_default.png'></span><span class=""surl-text"">阿根廷球迷俱乐部</span></a><a  href=""https://m.weibo.cn/search?containerid=231522type%3D1%26t%3D10%26q%3D%23%E9%98%BF%E6%A0%B9%E5%BB%B7%E5%9B%BD%E5%AE%B6%E9%98%9F%E5%87%AF%E6%97%8B%23&extparam=%23%E9%98%BF%E6%A0%B9%E5%BB%B7%E5%9B%BD%E5%AE%B6%E9%98%9F%E5%87%AF%E6%97%8B%23&luicode=10000011&lfid=231522type%3D1%26q%3D%23%E9%98%BF%E6%A0%B9%E5%BB%B7%E5%86%A0%E5%86%9B%23%26t%3D10"" data-hide=""""><span class=""surl-text"">#阿根廷国家队凯旋#</span></a><a  href=""https://m.weibo.cn/search?containerid=231522type%3D1%26t%3D10%26q%3D%23%E9%98%BF%E6%A0%B9%E5%BB%B7%E5%86%A0%E5%86%9B%23&luicode=10000011&lfid=231522type%3D1%26q%3D%23%E9%98%BF%E6%A0%B9%E5%BB%B7%E5%86%A0%E5%86%9B%23%26t%3D10"" data-hide=""""><span class=""surl-text"">#阿根廷冠军#</span></a> ",广东,205,19,205
Wed Dec 21 09:48:31 +0800 2022,"<a  href=""https://m.weibo.cn/search?containerid=231522type%3D1%26t%3D10%26q%3D%23%E9%98%BF%E6%A0%B9%E5%BB%B7%E5%86%A0%E5%86%9B%23&luicode=10000011&lfid=231522type%3D1%26q%3D%23%E9%98%BF%E6%A0%B9%E5%BB%B7%E5%86%A0%E5%86%9B%23%26t%3D10"" data-hide=""""><span class=""surl-text"">#阿根廷冠军#</span></a> <br />【十大豪门哄抢冠军中场，巴萨眼睁睁错过，梅西不会当说客】<br /><br />正如詹俊老师所说那样，每一位球员在世界杯的表现都让各大豪门看在眼重，再加2000万，就是证明了，这名球员在世界杯的发挥，可以让其身价暴涨，而暴涨的基数将会从千万谈起，这不是危言耸听，有的球员灵光一现，但有的球员， ...<a href=""/status/4849050996181295"">全文</a>",河北,10,1,10
Wed Dec 21 17:03:33 +0800 2022,"恭喜阿根廷，恭喜梅西，今晚DY直播间抽薄垫。<a  href=""https://m.weibo.cn/search?containerid=231522type%3D1%26t%3D10%26q%3D%23%E6%81%AD%E5%96%9C%E6%A2%85%E8%A5%BF%23&extparam=%23%E6%81%AD%E5%96%9C%E6%A2%85%E8%A5%BF%23&luicode=10000011&lfid=231522type%3D1%26q%3D%23%E9%98%BF%E6%A0%B9%E5%BB%B7%E5%86%A0%E5%86%9B%23%26t%3D10"" data-hide=""""><span class=""surl-text"">#恭喜梅西#</span></a><a  href=""https://m.weibo.cn/search?containerid=231522type%3D1%26t%3D10%26q%3D%23%E9%98%BF%E6%A0%B9%E5%BB%B7%E5%86%A0%E5%86%9B%23&luicode=10000011&lfid=231522type%3D1%26q%3D%23%E9%98%BF%E6%A0%B9%E5%BB%B7%E5%86%A0%E5%86%9B%23%26t%3D10"" data-hide=""""><span class=""surl-text"">#阿根廷冠军#</span></a> <a  href=""https://video.weibo.com/show?fid=1034:4849159812087887"" data-hide=""""><span class='url-icon'><img style='width: 1rem;height: 1rem' src='https://h5.sinaimg.cn/upload/2015/09/25/3/timeline_card_small_video_default.png'></span><span class=""surl-text"">零压哥的微博视频</span></a> ",上海,0,0,0
Wed Dec 21 17:02:31 +0800 2022,"<a  href=""https://m.weibo.cn/search?containerid=231522type%3D1%26t%3D10%26q%3D%23%E5%8D%A1%E5%A1%94%E5%B0%94%E4%B8%96%E7%95%8C%E6%9D%AF%23&extparam=%23%E5%8D%A1%E5%A1%94%E5%B0%94%E4%B8%96%E7%95%8C%E6%9D%AF%23&luicode=10000011&lfid=231522type%3D1%26q%3D%23%E9%98%BF%E6%A0%B9%E5%BB%B7%E5%86%A0%E5%86%9B%23%26t%3D10"" data-hide=""""><span class=""surl-text"">#卡塔尔世界杯#</span></a> <br />凌晨2:45分的直播截图<br /><br />现在再看一遍都是非常的激动兴奋，努力奋斗有梦想一定会实现。<br /><a  href=""https://m.weibo.cn/search?containerid=231522type%3D1%26t%3D10%26q%3D%23%E9%98%BF%E6%A0%B9%E5%BB%B7%E5%86%A0%E5%86%9B%23&luicode=10000011&lfid=231522type%3D1%26q%3D%23%E9%98%BF%E6%A0%B9%E5%BB%B7%E5%86%A0%E5%86%9B%23%26t%3D10"" data-hide=""""><span class=""surl-text"">#阿根廷冠军#</span></a> <a  href=""http://weibo.com/p/1001018008611000000000000"" data-hide=""""><span class='url-icon'><img style='width: 1rem;height: 1rem' src='https://h5.sinaimg.cn/upload/2015/09/25/3/timeline_card_small_location_default.png'></span><span class=""surl-text"">北京</span></a> ",北京,0,0,0
Wed Dec 21 16:50:52 +0800 2022,"<a  href=""https://m.weibo.cn/search?containerid=231522type%3D1%26t%3D10%26q%3D%23%E9%98%BF%E6%A0%B9%E5%BB%B7%E5%86%A0%E5%86%9B%23&luicode=10000011&lfid=231522type%3D1%26q%3D%23%E9%98%BF%E6%A0%B9%E5%BB%B7%E5%86%A0%E5%86%9B%23%26t%3D10"" data-hide=""""><span class=""surl-text"">#阿根廷冠军#</span></a><a  href=""https://m.weibo.cn/search?containerid=231522type%3D1%26t%3D10%26q%3D%23%E9%98%BF%E6%A0%B9%E5%BB%B7%E5%87%AF%E6%97%8B%23&extparam=%23%E9%98%BF%E6%A0%B9%E5%BB%B7%E5%87%AF%E6%97%8B%23&luicode=10000011&lfid=231522type%3D1%26q%3D%23%E9%98%BF%E6%A0%B9%E5%BB%B7%E5%86%A0%E5%86%9B%23%26t%3D10"" data-hide=""""><span class=""surl-text"">#阿根廷凯旋#</span></a> 我不知道那个薄纱衣是不是有什么不好的寓意 但是它真他妈难看～听说阿根廷人不断在羞辱对手 包括好脾气的梅西也发了脾气～这样的人品可见一斑啊 ",北京,0,1,0
Wed Dec 21 16:43:45 +0800 2022,"如果本泽马在决赛复出会让冠军易主吗？或许不会，毕竟正是德尚帮助法国队保持稳定团结，从而走出南非阵痛在2018夺得世界杯冠军；也正是良好的团队氛围让阿根廷在本次世界杯笑到了最后。<br /><a  href=""https://m.weibo.cn/search?containerid=231522type%3D1%26t%3D10%26q%3D%23%E9%98%BF%E6%A0%B9%E5%BB%B7%E5%86%A0%E5%86%9B%23&luicode=10000011&lfid=231522type%3D1%26q%3D%23%E9%98%BF%E6%A0%B9%E5%BB%B7%E5%86%A0%E5%86%9B%23%26t%3D10"" data-hide=""""><span class=""surl-text"">#阿根廷冠军#</span></a><a  href=""https://m.weibo.cn/search?containerid=231522type%3D1%26t%3D10%26q%3D%23%E4%B8%96%E7%95%8C%E6%9D%AF%23&extparam=%23%E4%B8%96%E7%95%8C%E6%9D%AF%23&luicode=10000011&lfid=231522type%3D1%26q%3D%23%E9%98%BF%E6%A0%B9%E5%BB%B7%E5%86%A0%E5%86%9B%23%26t%3D10"" data-hide=""""><span class=""surl-text"">#世界杯#</span></a><a  href=""https://m.weibo.cn/search?containerid=231522type%3D1%26t%3D10%26q%3D%23%E6%9C%AC%E6%B3%BD%E9%A9%AC%E5%BE%B7%E5%B0%9A%E5%85%B3%E7%B3%BB%E7%A0%B4%E8%A3%82%23&extparam=%23%E6%9C%AC%E6%B3%BD%E9%A9%AC%E5%BE%B7%E5%B0%9A%E5%85%B3%E7%B3%BB%E7%A0%B4%E8%A3%82%23&luicode=10000011&lfid=231522type%3D1%26q%3D%23%E9%98%BF%E6%A0%B9%E5%BB%B7%E5%86%A0%E5%86%9B%23%26t%3D10"" data-hide=""""><span class=""surl-text"">#本泽马德尚关系破裂#</span></a> <a  href=""https://video.weibo.com/show?fid=1034:4849150681088060"" data-hide=""""><span class='url-icon'><img style='width: 1rem;height: 1rem' src='https://h5.sinaimg.cn/upload/2015/09/25/3/timeline_card_small_video_default.png'></span><span class=""surl-text"">体育产业评论的微博视频</span></a> ",浙江,0,0,0
Wed Dec 21 16:35:34 +0800 2022,"22梅西和86马拉多纳，各自世界杯代表作数据对比：<br /><br />场次：梅西7 马拉多纳7<br />进球：梅西7 马拉多纳5<br />助攻：梅西3 马拉多纳5<br />关键传球：梅西21 马拉多纳27<br />制造1球平均时间：梅西69分钟 马拉多纳63分钟<br />过人（成功率）：梅西15（56%） 马拉多纳53（59%）<br />被犯规：梅西22 马拉多纳53 <br /><br /><a  href=""https://m.weibo.cn/search?containerid=231522type%3D1%26t%3D10%26q%3D%23%E6%A2%85%E8%A5%BF%E5%B0%81%E7%8E%8B%23&luicode=10000011&lfid=231522type%3D1%26q%3D%23%E9%98%BF%E6%A0%B9%E5%BB%B7%E5%86%A0%E5%86%9B%23%26t%3D10"" data-hide=""""><span class=""surl-text"">#梅西封王#</span></a> ...<a href=""/status/4849153434454615"">全文</a>",北京,38,26,38
